Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Benin,BEN,30.05702591
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burundi,BDI,23.58145905
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Burkina Faso,BFA,44.40372086
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cameroon,CMR,49.64924622
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Central African Republic,CAF,29.9801693
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Dem. Rep.",COD,19.41761589
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cote d'Ivoire,CIV,69.34188843
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chad,TCD,29.49969864
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eritrea,ERI,21.17291069
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Gambia, The",GMB,22.71026421
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ghana,GHA,67.45523071
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea-Bissau,GNB,50.57252884
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea,GIN,36.50824356
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lesotho,LSO,111.6414261
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Madagascar,MDG,24.68006706
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Malaysia,MYS,380.68573
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Niger,NER,28.80011749
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Papua New Guinea,PNG,60.09675598
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Philippines,PHL,132.5789642
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sao Tome and Principe,STP,117.0106812
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sierra Leone,SLE,82.54949188
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Solomon Islands,SLB,97.43276978
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Somalia,SOM,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,South Sudan,SSD,26.38130379
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Zimbabwe,ZWE,112.7419357
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,World,WLD,1064.73265
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
